Medyczna Przychodnia ##(32) 370 24 14
Lar-Med Nzoz #         nzozlarmedzywiec@gmail.com     #(33) 860 26 63
Orto-Beskid Spółka Cywilna Ewelina Gielata Piotr Nikiel Krzysztof Jakubiec #         biuro@orto-beskid.pl     #(33) 488 69 01
Orto-Dent S.C. Iwona Stan Justyna Przybylska ##604 860 756
Ortokinesis Sp. z o.o. #         fizjoterapiakinesis@gmail.com     #Oceń firmę i napisz o niej opinię:
Ortolan Sp. z o.o. #         informacja@ortolan.com.pl     #(32) 209 12 38
Ortolandia Elżbieta Zgrzebna, Agnieszka Szettel S.C. #         laboratorium@orto-landia.pl     #Oceń firmę i napisz o niej opinię:
Orto-Med Katarzyna Struzikiewicz #         ortomed.zce@gmail.com     #793 664 260
ORTO-MED Łukasz Kowal Specjalistyczne Zaopatrzenie Medyczne #         ortomed.zabrze@interia.pl     #665 108 769
Ortomed Plus Wojciech Szołtysik ##(32) 289 75 69
Orto-Medic Niepubliczny Zakład Opieki Zdrowotnej #         pzoz.ortomedic@interia.pl     #(32) 223 41 73
Ortomi Piotr Micał #         ortomi@poczta.fm     #694 384 176
Orto-Pharma Adam Czerwiński #         pharmaski@interia.pl     #(33) 819 39 24
Orto-Pharma Adam Czerwiński #         apteka.kasztany.pharma@gmail.com     #600 291 095
Orto-Prom Agnieszka Paleolog ##502 506 603
Ortoptystka Aleksandra Mzyk #         optykdozobaczenia@gmail.com     #Oceń firmę i napisz o niej opinię:
Osak Dawid Usługi Medyczne ##514 650 065
Osiedlowa Przychodnia ##(32) 258 97 43
Ośrodek Dokształcania i Doskonalenia Zawodowego w Zespole Policealnych Szkół Medyczno Społecznych #         medyk.bytom@onet.pl     #(32) 281 18 59
Ośrodek Rehabilitacyjno-Leczniczy Sp. z o.o. Niepubliczny Zakład Opieki Zdrowotnej ##(32) 226 32 52
Ośrodek Rehabilitacyjno-Leczniczy Sp. z o.o. Niepubliczny Zakład Opieki Zdrowotnej Dział Fizykoterapii ##(32) 226 32 52
Ośrodek Rehabilitacyjno-Leczniczy Sp. z o.o. Niepubliczny Zakład Opieki Zdrowotnej Dział Hydroterapii ##(32) 226 32 52
Ośrodek Rehabilitacyjno-Leczniczy Sp. z o.o. Niepubliczny Zakład Opieki Zdrowotnej Dział Kinezyterapii ##(32) 226 32 52
Ośrodek Rehabilitacyjno-Leczniczy Sp. z o.o. Niepubliczny Zakład Opieki Zdrowotnej Dział Krioterapii ##(32) 226 32 52
Ośrodek Rehabilitacyjno-Leczniczy Sp. z o.o. Niepubliczny Zakład Opieki Zdrowotnej Dział Masażu Leczniczego ##(32) 226 32 52
Ośrodek Rehabilitacyjno-Leczniczy Sp. z o.o. Niepubliczny Zakład Opieki Zdrowotnej Poradnia Alergologiczna ##(32) 226 32 52
Ośrodek Rehabilitacyjno-Leczniczy Sp. z o.o. Niepubliczny Zakład Opieki Zdrowotnej Poradnia Alergologiczna dla Dzieci ##(32) 226 32 52
Ośrodek Rehabilitacyjno-Leczniczy Sp. z o.o. Niepubliczny Zakład Opieki Zdrowotnej Poradnia Diabetologiczna ##(32) 226 32 52
Ośrodek Rehabilitacyjno-Leczniczy Sp. z o.o. Niepubliczny Zakład Opieki Zdrowotnej Poradnia Diabetologiczna dla Dzieci ##(32) 226 32 52
Ośrodek Rehabilitacyjno-Leczniczy Sp. z o.o. Niepubliczny Zakład Opieki Zdrowotnej Poradnia Endokrynologiczna ##(32) 226 32 52
Ośrodek Rehabilitacyjno-Leczniczy Sp. z o.o. Niepubliczny Zakład Opieki Zdrowotnej Poradnia Geriatryczna ##(32) 226 32 52
Ośrodek Rehabilitacyjno-Leczniczy Sp. z o.o. Niepubliczny Zakład Opieki Zdrowotnej Poradnia Hematologiczna ##(32) 226 32 52
Ośrodek Rehabilitacyjno-Leczniczy Sp. z o.o. Niepubliczny Zakład Opieki Zdrowotnej Poradnia Kardiologiczna ##(32) 226 32 52
Ośrodek Rehabilitacyjno-Leczniczy Sp. z o.o. Niepubliczny Zakład Opieki Zdrowotnej Poradnia Leczenia Bólu ##(32) 226 32 52
Ośrodek Rehabilitacyjno-Leczniczy Sp. z o.o. Niepubliczny Zakład Opieki Zdrowotnej Poradnia Leczenia Wad Postawy ##(32) 226 32 52
Ośrodek Rehabilitacyjno-Leczniczy Sp. z o.o. Niepubliczny Zakład Opieki Zdrowotnej Poradnia Lekarza Rodzinnego ##(32) 226 32 52
Ośrodek Rehabilitacyjno-Leczniczy Sp. z o.o. Niepubliczny Zakład Opieki Zdrowotnej Poradnia Logopedyczna ##(32) 226 32 52
Ośrodek Rehabilitacyjno-Leczniczy Sp. z o.o. Niepubliczny Zakład Opieki Zdrowotnej Poradnia Medycyny Pracy ##(32) 226 32 52
Ośrodek Rehabilitacyjno-Leczniczy Sp. z o.o. Niepubliczny Zakład Opieki Zdrowotnej Poradnia Neurologiczna ##(32) 226 32 52
Ośrodek Rehabilitacyjno-Leczniczy Sp. z o.o. Niepubliczny Zakład Opieki Zdrowotnej Poradnia Okulistyczna ##(32) 226 32 52
Ośrodek Rehabilitacyjno-Leczniczy Sp. z o.o. Niepubliczny Zakład Opieki Zdrowotnej Poradnia Okulistyczna dla Dzieci ##(32) 226 32 52
Ośrodek Rehabilitacyjno-Leczniczy Sp. z o.o. Niepubliczny Zakład Opieki Zdrowotnej Poradnia Preluksacyjna ##(32) 226 32 52
Ośrodek Rehabilitacyjno-Leczniczy Sp. z o.o. Niepubliczny Zakład Opieki Zdrowotnej Poradnia Rehabilitacyjna ##(32) 226 32 52
Ośrodek Rehabilitacyjno-Leczniczy Sp. z o.o. Niepubliczny Zakład Opieki Zdrowotnej Poradnia Reumatologiczna ##(32) 226 32 52
Ośrodek Rehabilitacyjno-Leczniczy Sp. z o.o. Niepubliczny Zakład Opieki Zdrowotnej Pracownia USG ##(32) 226 32 52
Ośrodek Rehabilitacyjno-Leczniczy Sp. z o.o. Niepubliczny Zakład Opieki Zdrowotnej Zespół Długoterminowej Opieki Domowej ##(32) 226 32 52
Ośrodek Rehabilitacyjny dla Uzależnionych od Substancji Psychoaktywnych ##(33) 818 38 35
Ośrodek Terapii Nerwic dla Dzieci i Młodzieży #         kancelaria@otnorzesze.pl     #Oceń firmę i napisz o niej opinię:
Ośrodek Usług Medycznych Alergokol #         alergokol1@wp.pl     #(32) 421 09 70
Ośrodek Zdrowia Łojki NZOZ ##(34) 327 10 43
Oto-Medicus Indywidualna Specjalistyczna Praktyka Lekarska. NZOZ Bęś Grażyna ##(34) 317 28 17
Panaceum - Agencja Usług Medycznych Sp. z o.o. #         panaceum.med@gmail.com     #(32) 251 83 63
Panaceum Sp. z o.o. Niepubliczny Zakład Opieki Zdrowotnej Centrum Medyczne ##(32) 212 86 66
Panaceum Sp. z o.o. Niepubliczny Zakład Opieki Zdrowotnej Centrum Medyczne Laboratorium Analityczne ##(32) 210 10 35
Panaceum Sp. z o.o. Niepubliczny Zakład Opieki Zdrowotnej Centrum Medyczne Ośrodek Medycyny Rodzinnej ##(32) 212 00 17
Panaceum Sp. z o.o. Niepubliczny Zakład Opieki Zdrowotnej Centrum Medyczne Ośrodek Medycyny Rodzinnej ##(32) 210 22 50
Panaceum Sp. z o.o. Niepubliczny Zakład Opieki Zdrowotnej Centrum Medyczne Ośrodek Medycyny Rodzinnej #         panaceum3@op.pl     #(32) 210 10 35
Panaceum Witold Osmański-Oliwia Hetak Sp.j. #         panaceum.med@gmail.com     #(32) 251 83 63
Panep S.R.O. Sp. z o.o. Oddział w Polsce ##(33) 816 07 82
Państwowa Inspekcja Ochrony Roślin i Nasiennictwa Wojewódzki Inspektorat Ochrony Roślin i Nasiennictwa Laboratorium ##(32) 351 24 09
Paprocany S.C. Centrum Medyczne Filia #         centrum@paprocany.pl     #(32) 219 61 00
Para Medic Seba Med Sebastian Matuszczyk #         sebastiano9@wp.pl     #697 562 457
Paramedic Ratownictwo Medyczne Piotr Kuczera #         pkuczera@o2.pl     #Oceń firmę i napisz o niej opinię:
Park Medical Sp. z o.o. ##(33) 474 00 00
Parmat Przedsiębiorstwo Produkcyjno-Usługowo-Handlowe Mateusz Parkitny ##(34) 317 97 48
Partner Sp.j. Szmidt-Banyś #         biuro@kuschall.eu     #Oceń firmę i napisz o niej opinię:
Patronus Krzysztof Januła #         kontakt@patronus-med.com     #795 078 048
Patrycja Kowalczuk Pressdent #         patrycja.kowalczu@icloud.com     #Oceń firmę i napisz o niej opinię:
Patrycjusz Piśniak Pracownia Protetyki Dentystycznej &#039;Pro Dent&#039; ##505 721 306
Pauli Maria NZOZ Higiena Szkolna ##604 079 708
Paweł Borycki #         pablo.borycki@o2.pl     #Oceń firmę i napisz o niej opinię:
Paweł Domasik Ratownictwo Medyczne ##694 078 666
Paweł Kwiatkowski Kontrast #         kfjatuch@gmail.com     #Oceń firmę i napisz o niej opinię:
Pawlikowska-Sidorowicz Ewa Sklep Zielarsko-Medyczny ##(32) 293 24 54
PCN Group Sp. z o.o. ##605 625 795
Perdian Mariola Usługi Medyczne #         patyk_95@o2.pl     #660 743 390
Perfect Dent Mateusz Kała ##(33) 812 51 96
Pespedis Sp. z o.o. #         medimed.czest@gmail.com     #698 680 543
Pestinova Laboratorium Badawcze #         pestinova@pestinova.com.pl     #607 592 652
PGL Zdrowie S.C. #         zdrowiesc@wp.pl     #(32) 469 41 44
P.G.L.R. Medyk S.C. #         medyk_s.c@wp.pl     #(33) 863 10 99
Phu. Krystian Kwiatkowski #         optykkwiatkowski@gmail.com     #696 435 030
Piasecki Jacek Ratownictwo Medyczne ##602 376 253
Piekarskie Centrum Medyczne Sp. z o.o. Dzienny Ośrodek Rehabilitacji Leczniczej Dzieci Niepełnosprawnych #         info@szpital.piekary.pl     #(32) 284 54 35
Piekarskie Centrum Medyczne Sp. z o.o. Przychodnia nr 1 ##(32) 284 55 20
Piel-Med Sp. z o.o. NZOZ ##509 475 449
Pietruszka Paweł P-Med ##504 943 202
Pilarz Sylwia Usługi Medyczne w Zakresie Diagnostyki Laboratoryjnej ##697 981 705
Piotr Bocheński Kobo Trade #         ceragem.myslowice@gmail.com     #604 597 515
Piotr Izak Ratownik Medyczny #         portp@interia.pl     #Oceń firmę i napisz o niej opinię:
Piotr Widuch #         widuch.piotr@gmail.com     #Oceń firmę i napisz o niej opinię:
Plastmed Sp. z o.o. ##(33) 861 32 55
Pluskiewicz Wojciech Gabinet Diagnostyki Leczenia Osteoporozy #         kontakt@osteoporoza.pl     #(32) 331 33 16
Pmd Sp. z o.o. #         pmd.spolka.zoo@gmail.com     #(32) 222 13 60
P-Med Bednarczyk Paweł ##693 729 839
Pneumed NZOZ Spółka z Ograniczoną Odpowiedzialnościa ##(32) 431 91 50
Pod Orłem S.C. Niepubliczny Zakład Opieki Zdrowotnej Centrum Medyczne ##(33) 819 17 17
Pofam-Poznań Sp. z o.o. Sklep Zaopatrzenia Medycznego ##(32) 232 04 16
Pofam-Poznań Sp. z o.o. Sklep Zaopatrzenia Medycznego ##(32) 764 15 15
Pofam-Poznań Sp. z o.o. Sklep Zaopatrzenia Medycznego ##(33) 861 27 63
Pofam-Poznań Sp. z o.o. Sklep Zaopatrzenia Medycznego ##(32) 370 12 95
Pofam-Poznań Sp. z o.o. Sklep Zaopatrzenia Medycznego #         sklep.katowice@pofam.poznan.pl     #(32) 251 76 85
Pokorny Krzysztof Rehab. Remed Rehabilitacja Medyczna ##(33) 854 21 21
Pokój Przychodnia ##(32) 240 69 05
Polfra Laboratorium Analityczne Wiesława Juraszek ##(33) 822 86 33
Policealna Szkoła Medyczna TEB Edukacja #         raciborz@teb.pl     #(32) 417 85 15
Policealna Szkoła Medyczna Teb Edukacja w Rybniku #         rybnik@teb.pl     #(32) 423 78 17
Policealna Szkoła Medyczna Żak w Katowicach ##(32) 781 84 23
Policealna Szkoła Opieki Medycznej Żak w Katowicach ##(32) 781 84 23
Poliklinika Doktora Bessera NZOZ #         besser.sosnowiec@gmail.com     #(32) 294 51 77
Polimed NZOZ Iwona Kowalska ##(32) 266 53 54
PoliMed Sp. z o.o. Niepubliczny Zakład Opieki Zdrowotnej ##(33) 810 60 12
PoliMed Sp. z o.o. Niepubliczny Zakład Opieki Zdrowotnej #         polimed@post.pl     #(33) 810 91 06
PoliMed Sp. z o.o. Niepubliczny Zakład Opieki Zdrowotnej ##(33) 810 87 87
PoliMed Sp. z o.o. Niepubliczny Zakład Opieki Zdrowotnej Punkt Lekarski ##(33) 810 81 42
Polimed Sp. z o.o. Specjalistyczne Centrum Medyczne #         polimed@op.pl     #(32) 203 92 15
Polimed Sp. z o.o. Specjalistyczne Centrum Medyczne ##(32) 353 21 59
Polimed Sp. z o.o. Specjalistyczne Centrum Medyczne ##(32) 203 92 15
Politechnika Częstochowska Przychodnia Akademicka NZOZ ##(34) 325 03 81
Polmed NZOZ Aleksandra Rodak ##(32) 674 12 37
Polmed S.A. Centrum Medyczne ##(32) 661 05 50
Polmed S.A. Centrum Medyczne ##(32) 661 05 71
Pol-Sana-Med Sp. z o.o. ##(32) 296 92 11
Pol-Sana-Med Sp. z o.o. ##(32) 265 93 93
Pol-Sana-Med Sp. z o.o. #         polsanamed@adres.pl     #(32) 263 76 14
Polska Izba Zielarsko-Medyczna #         biuro@izbazielarska.org.pl     #Oceń firmę i napisz o niej opinię:
Polska Izba Zielarsko-Medyczna i Drogeryjna #         biuro@izbazielarska.org.pl     #(32) 352 31 50
Polska-Wirek Przychodnia ##(32) 242 80 31
Polskie Towarzystwo Ratowników Medycznych #         ptrm@ratmed.org     #604 464 630
Polvet Healthcare Teodorowski Sp. J. #         admin@polvet.pl     #(32) 757 12 97
Poradnia Dla Kobiet S.C. NZOZ ##(33) 861 46 91
Poradnia Medycyny Pracy ##(32) 287 53 50
Poradnia Medycyny Rodzinnej Niepubliczny Zakład Opieki Zdrowotnej #         lekpoz@poczta.onet.pl     #(34) 325 03 39
Poradnia Medycyny Szkolnej Samodzielny Publiczny Zakład Opieki Zdrowotnej w Rudzie Śląskiej ##(32) 243 14 02
Poradnia na Wzgórzu Niepubliczny Zakład Opieki Zdrowotnej ##(32) 770 76 38
Poradnia Okulistyczna S.C. #         poradniaokulistyczna@o2.pl     #(32) 271 50 69
Poradnia Rodzinna Total-Med NZOZ #         tadeuszl@magsoft.com.pl     #(32) 270 43 46
Poradnia Schorzeń Naczyń Angiosan NZOZ #         angiosan@op.pl     #(32) 370 17 79
Poradnia Specjalistyczna NZOZ #         e.olearska@interia.pl     #(34) 351 16 97
Poradnia Wielospecjalistyczna nr 1 ##(32) 324 31 23
Poradnie Specjalistyczne przy Wielospecjalistycznym Szpitalu Powiatowym S.A. #         szpital@wspsa.pl     #(32) 390 82 87
Poradnie Specjalistyczne przy Wielospecjalistycznym Szpitalu Powiatowym S.A. ##(32) 285 41 90
Poradnie Wielospecjalistyczne Sp. z o.o. ##(32) 231 28 16
Porąbka-Klimontów Przychodnia ##(32) 298 89 37
Pośrednictwo Roman Stekla #         biuro@marrodent.pl     #(33) 815 20 13
Powiatowa Stacja Sanitarno-Epidemiologiczna Laboratorium ##(32) 262 38 12
Powiatowa Stacja Sanitarno-Epidemiologiczna w Gliwicach Oddział Laboratoryjny ##(32) 271 21 35
Powiatowy Rzecznik Konsumentów #         prk@um.zory.pl     #(32) 434 81 58
Powiatowy Rzecznik Konsumentów #         konsument@powiat.pszczyna.pl     #(32) 449 23 28
Powiatowy Zespół Zakładów Opieki Zdrowotnej ##(32) 265 16 44
Powiatowy Zespół Zakładów Opieki Zdrowotnej ##(32) 267 30 11
Powroźniak Med NZOZ Poradnia Rodzinna #         powrozniak-med@wp.pl     #(32) 348 12 49
Pracownia Dentystyczna Tomasz Litwin ##509 443 712
Pracownia Implantologii Estetycznej L.M.Dental Lucyna Zatorska ##(33) 810 03 64
Pracownia Implantologii Estetycznej L.M.Dental Marek Gieruszyński #         lmdental.zabrzeg@gmail.com     #602 352 839
Pracownia Inżynierii Dentystycznej Vision Dental Iwona Motyl ##660 105 817
Pracownia Ortodontyczno-Protetyczna Katarzyna Świecik-Krajewska ##609 621 982
Pracownia Profilaktyki i Terapii Edward Szeliga #         szeliga.ppit@gmail.com     #606 486 421
Pracownia Protetyczna Agnieszka Bednarek #         agnes20021@wp.pl     #Oceń firmę i napisz o niej opinię:
Pracownia Protetyczna Anna Mędrala ##506 231 940
Pracownia Protetyczna Denta Nova Joanna Joniec #         dentanova@interia.pl     #501 526 534
Pracownia Protetyczna Dentx Krzysztof Firlej #         krisf1980@o2.pl     #Oceń firmę i napisz o niej opinię:
Pracownia Protetyczna Ewa Szczepańska #         mega-dent@o2.pl     #Oceń firmę i napisz o niej opinię:
Pracownia Protetyczna Handel Usługi Pawlus Marcelina ##(32) 214 38 04
Pracownia Protetyczna Inż. Techn. Dent. Edyta Janosz #         e.janosz.protetyka@gmail.com     #603 497 227
Pracownia Protetyczna Kamińska Magdalena ##604 074 528
Pracownia Protetyczna Katarzyna Foltyn #         kafoltyn@interia.pl     #(33) 488 19 07
Pracownia Protetyczna Katarzyna Gabryś ##502 277 093
Pracownia Protetyczna Maciej Krasucki ##604 600 640
Pracownia Protetyczna Pro - Dent Wioletta Wróbel-Lorenc ##(32) 616 32 30
Pracownia Protetyczna Wojciech Migurski #         wojciech.migurski@gmail.com     #Oceń firmę i napisz o niej opinię:
Pracownia Protetyczno-Ortodontyczna Elżbieta Kempa ##504 664 456
Pracownia Protetyki Dentystycznej Max-Dent Agnieszka Partyka-Krupa #         agnes_pk@poczta.onet.pl     #606 234 052
Pracownia Protetyki Stomatologicznej Adam Rabsztyn ##(32) 247 88 80
Pracownia Protetyki Stomatologicznej Aleksandra Sienkowiec ##600 376 723
Pracownia Protetyki Stomatologicznej Just Smile Piotr Ficek ##782 001 008
Pracownia Protetyki Stomatologicznej Oliwia Zatorska ##604 218 679
Pracownia Protetyki Stomatologicznej Plus Dental Akomodus Tomasz Skawiński ##(32) 271 61 17
Pracownia Techniczno-Dentystyczna Monika Banik ##609 463 709
Pracownia Techniki Dentystycznej Agata Skoczyńska ##(32) 725 47 52
Pracownia Techniki Dentystycznej Anna Bułan #         annabulan@wp.pl     #796 331 942
Pracownia Techniki Dentystycznej Chmielewska Halina #         halka1102@gmail.com     #(32) 236 01 20
Praktyka Dentystyczna - Piotr Kałuża Profilaktyka Centrum Medyczne #         pkaluza88@gmail.com     #(32) 706 99 10
Praktyka Lekarska Agnieszka Kluszczyńska-Galas ##509 147 882
Praktyka Lekarska Jerzy Myczkowski NZOZ Jerzy Myczkowski ##601 087 128
Praxis Niepubliczny Zakład Opieki Zdrowotnej #         nzozpraxis@wp.pl     #(32) 455 37 12
Pre-Medica Borowski Czuba Harasim Buzdygan Lekarze Spółka Partnerska ##530 476 486
Primatech Beata Chrobok #         primatech.pl@gmail.com     #(33) 829 30 91
Prinn Sp. z o.o. Poliklinika Dąbrowska Przychodnia Specjalistyczna ##(32) 639 01 01
Pro - Tech Michał Kowalczyk ##883 341 877
Pro Dental Niepubliczny Zakład Opieki Zdrowotnej #         prodentalgl@interia.pl     #(32) 231 90 58
Pro Femina Niepubliczny Zakład Opieki Zdrowotnej #         piotrstreamer@poczta.onet.pl     #(32) 267 41 50
Pro Feminae S.C. NZOZ #         jpaliga@interia.pl     #(32) 755 20 44
Pro Med Sp. z o.o. Niepubliczny Zakład Opieki Zdrowotnej ##(32) 211 46 66
Pro Vita Niepubliczny Zakład Opieki Zdrowotnej POR Medycyny Pracy ##(32) 422 26 02
Pro Vita Niepubliczny Zakład Opieki Zdrowotnej POR Neurologiczna POR Dziecięca #         provitarybnik@wp.pl     #(32) 755 76 58
Pro Vita Niepubliczny Zakład Opieki Zdrowotnej Poradnia ##(32) 422 24 80
Pro4med Sp. z o.o. #         biuro@pro4med.pl     #666 866 442
Probios Roman Klimunt #         probios@op.pl     #501 252 250
Probios Roman Klimunt #         info@probios-klima.pl     #501 252 250
Prodent Józefa Malejka ##(32) 370 22 32
Profilaktyk S.C. Leokadia Klupś, Bogumiła Krawczyk, Bogumiła Zając #         romacach@op.pl     #(32) 231 43 01
Profildent Ireneusz Tomecki #         profildent@o2.pl     #Oceń firmę i napisz o niej opinię:
Profilorto Pracownia Ortodontyczno Protetyczna Filip Gulbinowicz #         filgul@wp.pl     #606 410 270
Profimedical Sp. z o.o. Sp. K. ##(32) 666 30 60
Prof-Med Sp. z o.o. Przychodnia Medycyny Pracy ##(32) 201 09 59
Promed ##(32) 280 55 55
Promed Sp. z o.o. Niepubliczny Zakład Opieki Zdrowotnej Przychodnia Rejonowo-Specjalistyczna ##(32) 762 53 30
Pro-Med Sp. z o.o. Przychodnia Medycyny Pracy ##(32) 234 73 90
Promed Sp. z o.o. Przychodnia Rejonowo-Specjalistyczna NZOZ nr 2 ##(32) 762 53 31
Promed Sp. z o.o. Zakład Opieki Zdrowotnej #         promed1@poczta.fm     #(32) 710 43 81
Promedica S.C. M. i Ł. Laskowscy ##(32) 260 31 44
Pro-Medico Tomasz Prochoń Sp.k. #         prochont@interia.pl     #Oceń firmę i napisz o niej opinię:
Promis S.C. Prochoń Jacek Miszczuk Marzena ##(32) 231 53 44
Pro-Ortho Sp. z o.o. ##500 352 444
Pro-Sto Protetyka Stomatologiczna i Ortodoncja Małgorzata Gieleciak #         gieleciakm@interia.pl     #(33) 810 01 81
Proteka Laboratorium Ortopedyczne Jakub Krawczak #         info@proteka.pl     #(32) 284 18 29
Protetyk Sp. z o.o. Usługi Medyczne ##(34) 319 80 36
Protetyka Dentystyczna Godent Marcin Gowarzewski ##602 746 687
Protetyka Grzesiak Anna Grzesiak ##665 380 507
Protetyka i Stomatologia S.C. Aurelia Kłeczek Joanna Kłeczek Aleksandra Kłeczek #         jque@op.pl     #(32) 297 21 22
Protex S.C. Ewa Pałka Barbara Żyła #         uslugiprotex@interia.pl     #Oceń firmę i napisz o niej opinię:
Protezownia Joanna - Joanna Walczak #         joannawalczak@tlen.pl     #(32) 231 50 49
Protodens Niedobecka Katarzyna Usługi Protetyczne ##(32) 780 65 95
Prywatna Przychodnia Lekarska Barbara Frysz-Domańska i Henryk Domański S.C. ##604 111 356
Prywatna Przychodnia Lekarska Janik-Med ##(34) 324 30 85
Prywatna Przychodnia Lekarska Janik-Med S.C. ##(34) 324 30 85
Prywatne Centrum Medyczne Medyk-Centrum #         medykcentrum@wp.pl     #(34) 365 46 66
Prywatny Gabinet Psychologiczny Jolanta Sajkowska #         pszydlowskaewelina@gmail.com     #Oceń firmę i napisz o niej opinię:
Przedsiębiorstwo Lecznicze NZOZ Mental Punkt Sp. z o.o. #         o.lisowski@mentalpunkt.pl     #694 165 664
Przedsiębiorstwo Podmiotu Leczniczego Enatyna S.Gruca - Sikora S.C. #         lek1234@interia.eu     #601 438 179
Przedsiębiorstwo Produkcyjno-Usługowo Handlowe Acumobil Monika Suchoń #         acumobil@wp.pl     #Oceń firmę i napisz o niej opinię:
Przedsiębiorstwo Świadczeń Zdrowotnych i Promocji Zdrowia Elvita-Jaworzno Iii Sp. z o.o. ##(32) 754 94 11
Przedsiębiorstwo Usług Medycznych Proelmed Sp. z o.o. ##(32) 324 32 80
Przedsiębiorstwo Usługowe Magdalena Wolny #         magdalenawolny@interia.pl     #Oceń firmę i napisz o niej opinię:
Przedsiębiorstwo Wielobranżowe Marku Medical L. Zielińska i J. Zieliński Sp.j. ##(34) 324 72 97
Przemysław Czarnuch Clear-Lab #         laboratorium.clearlab@gmail.com     #Oceń firmę i napisz o niej opinię:
Przemysław Idziak #         przemyslaw.idziak150@gmail.com     #726 088 921
Przy Delphi A.S.P. Niepubliczny Zakład Opieki Zdrowotnej ##(33) 860 18 62
Przybylski Dariusz Darkom ##(32) 360 50 50
Przychodnia Dagamed S.C. #         dagamed@onet.pl     #(33) 823 16 06
Przychodnia Elmed Sp. z o.o. #         elmedzory@onet.eu     #(32) 434 39 38
Przychodnia Eskulap ##(32) 227 52 96
Przychodnia Klimontów Sp. z o.o. Niepubliczny Zakład Opieki Zdrowotnej #         klimontow@poczta.onet.pl     #(32) 263 72 73
Przychodnia Lekarska Medycyny Rodzinnej i Specjalistycznej ##(34) 315 21 09
Przychodnia Lekarska Medycyny Rodzinnej i Specjalistycznej #         ppradla@interia.pl     #(34) 315 20 12
Przychodnia Lekarska Olmed Sp. z o.o. #         olsztynska@data.pl     #(34) 361 89 82
Przychodnia Lekarska S.C. Niepubliczny Zakład Opieki Zdrowotnej #         nzoz@poczta.ck.gliwice.pl     #(32) 248 24 64
przychodnia madent #         jerzykm-74@wp.pl     #728 557 897
Przychodnia Medycyny Rodzinnej #         2400792@zoz.org.pl     #(34) 353 56 11
Przychodnia Medycyny Rodzinnej Adam Konina #         medikom@wp.pl     #(34) 357 63 36
Przychodnia Na Zdrowie ##(32) 471 75 62
Przychodnia Nadzieja ##(32) 421 00 83
Przychodnia nr 4 Sp. z o.o. #         przy4@post.pl     #(32) 327 62 50
Przychodnia NZOZ Centrum Medyczne Hajduki Sp. z o.o. #         jarek@reha-serwis.pl     #609 806 690
